movieId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
16,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
32,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
34,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
39,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
50,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
62,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
70,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
95,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
104,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
